data,value
21,128.0
21,128.0
21,128.0
21,128.0
21,128.0
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,127.6
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.2
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
21,128.7
